loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.5346,748469.25,1.9767220902612828e-05,0.023752969121140142,50,,,,,,,,,,,,,
0.3229,725634.1875,1.952969121140143e-05,0.047505938242280284,100,,,,,,,,,,,,,
0.29,367653.3125,1.9292161520190026e-05,0.07125890736342043,150,,,,,,,,,,,,,
0.2888,544416.75,1.9054631828978623e-05,0.09501187648456057,200,,,,,,,,,,,,,
0.2923,588905.6875,1.8817102137767224e-05,0.1187648456057007,250,,,,,,,,,,,,,
0.2899,329074.96875,1.857957244655582e-05,0.14251781472684086,300,,,,,,,,,,,,,
0.2492,195740.53125,1.834204275534442e-05,0.166270783847981,350,,,,,,,,,,,,,
0.2381,303201.09375,1.8104513064133016e-05,0.19002375296912113,400,,,,,,,,,,,,,
0.2491,482245.125,1.7866983372921617e-05,0.21377672209026127,450,,,,,,,,,,,,,
0.2225,563000.6875,1.7629453681710215e-05,0.2375296912114014,500,,,,,,,,,,,,,
0.2213,318346.03125,1.7391923990498812e-05,0.26128266033254155,550,,,,,,,,,,,,,
0.2125,789680.6875,1.7154394299287413e-05,0.2850356294536817,600,,,,,,,,,,,,,
0.2318,252385.625,1.691686460807601e-05,0.3087885985748218,650,,,,,,,,,,,,,
0.2097,538008.6875,1.6679334916864608e-05,0.332541567695962,700,,,,,,,,,,,,,
0.2146,894311.375,1.644180522565321e-05,0.35629453681710216,750,,,,,,,,,,,,,
0.1959,456400.78125,1.6204275534441806e-05,0.38004750593824227,800,,,,,,,,,,,,,
0.1956,722811.0,1.5966745843230403e-05,0.40380047505938244,850,,,,,,,,,,,,,
0.1914,512941.71875,1.5729216152019004e-05,0.42755344418052255,900,,,,,,,,,,,,,
0.1976,271773.21875,1.5491686460807602e-05,0.4513064133016627,950,,,,,,,,,,,,,
0.1817,481056.25,1.5254156769596201e-05,0.4750593824228028,1000,,,,,,,,,,,,,
0.21,738496.875,1.50166270783848e-05,0.498812351543943,1050,,,,,,,,,,,,,
0.1739,422072.8125,1.4779097387173397e-05,0.5225653206650831,1100,,,,,,,,,,,,,
0.1699,96680.5546875,1.4541567695961995e-05,0.5463182897862233,1150,,,,,,,,,,,,,
0.1746,638402.375,1.4304038004750596e-05,0.5700712589073634,1200,,,,,,,,,,,,,
0.1732,159134.703125,1.4066508313539193e-05,0.5938242280285035,1250,,,,,,,,,,,,,
0.1716,304192.15625,1.382897862232779e-05,0.6175771971496437,1300,,,,,,,,,,,,,
0.1984,166240.90625,1.3591448931116391e-05,0.6413301662707839,1350,,,,,,,,,,,,,
0.1739,416848.4375,1.3353919239904989e-05,0.665083135391924,1400,,,,,,,,,,,,,
0.1853,342727.28125,1.311638954869359e-05,0.6888361045130641,1450,,,,,,,,,,,,,
0.1934,352398.03125,1.2878859857482187e-05,0.7125890736342043,1500,,,,,,,,,,,,,
0.1531,87044.484375,1.2641330166270785e-05,0.7363420427553444,1550,,,,,,,,,,,,,
0.1871,165507.234375,1.2403800475059384e-05,0.7600950118764845,1600,,,,,,,,,,,,,
0.1578,503646.5,1.2166270783847983e-05,0.7838479809976246,1650,,,,,,,,,,,,,
0.1886,686995.875,1.192874109263658e-05,0.8076009501187649,1700,,,,,,,,,,,,,
0.1695,157040.6875,1.169121140142518e-05,0.831353919239905,1750,,,,,,,,,,,,,
0.1634,87539.34375,1.1453681710213777e-05,0.8551068883610451,1800,,,,,,,,,,,,,
0.16,780829.625,1.1216152019002376e-05,0.8788598574821853,1850,,,,,,,,,,,,,
0.1546,512632.78125,1.0978622327790975e-05,0.9026128266033254,1900,,,,,,,,,,,,,
0.1511,143899.15625,1.0741092636579572e-05,0.9263657957244655,1950,,,,,,,,,,,,,
0.1606,629740.125,1.0503562945368172e-05,0.9501187648456056,2000,,,,,,,,,,,,,
0.1619,926863.0625,1.026603325415677e-05,0.9738717339667459,2050,,,,,,,,,,,,,
0.1469,142452.59375,1.0028503562945368e-05,0.997624703087886,2100,,,,,,,,,,,,,
,,,1.0,2105,0.23348428308963776,0.9220183486238532,0.9140969162995595,0.9346846846846847,0.9242761692650334,4.1915,208.039,6.68,,,,,
0.1008,551871.1875,9.790973871733967e-06,1.0213776722090262,2150,,,,,,,,,,,,,
0.1213,345274.5625,9.553444180522566e-06,1.0451306413301662,2200,,,,,,,,,,,,,
0.1064,103660.203125,9.315914489311164e-06,1.0688836104513064,2250,,,,,,,,,,,,,
0.1039,752164.875,9.078384798099763e-06,1.0926365795724466,2300,,,,,,,,,,,,,
0.091,1051310.75,8.840855106888362e-06,1.1163895486935866,2350,,,,,,,,,,,,,
0.1463,123197.53125,8.603325415676961e-06,1.1401425178147269,2400,,,,,,,,,,,,,
0.1225,143569.609375,8.365795724465559e-06,1.1638954869358669,2450,,,,,,,,,,,,,
0.1244,116837.2421875,8.128266033254158e-06,1.187648456057007,2500,,,,,,,,,,,,,
